ClubName,League,Season_Year,Positions,Updated_At
Arsenal FC,Premier League,2025,1,2026-02-13 11:43:25
Manchester City FC,Premier League,2025,2,2026-02-13 11:43:25
Aston Villa FC,Premier League,2025,3,2026-02-13 11:43:25
Manchester United FC,Premier League,2025,4,2026-02-13 11:43:25
Chelsea FC,Premier League,2025,5,2026-02-13 11:43:25
Liverpool FC,Premier League,2025,6,2026-02-13 11:43:25
Brentford FC,Premier League,2025,7,2026-02-13 11:43:25
Everton FC,Premier League,2025,8,2026-02-13 11:43:25
AFC Bournemouth,Premier League,2025,9,2026-02-13 11:43:25
Newcastle United FC,Premier League,2025,10,2026-02-13 11:43:25
Sunderland AFC,Premier League,2025,11,2026-02-13 11:43:25
Fulham FC,Premier League,2025,12,2026-02-13 11:43:25
Crystal Palace FC,Premier League,2025,13,2026-02-13 11:43:25
Brighton & Hove Albion FC,Premier League,2025,14,2026-02-13 11:43:25
Leeds United FC,Premier League,2025,15,2026-02-13 11:43:25
Tottenham Hotspur FC,Premier League,2025,16,2026-02-13 11:43:25
Nottingham Forest FC,Premier League,2025,17,2026-02-13 11:43:25
West Ham United FC,Premier League,2025,18,2026-02-13 11:43:25
Burnley FC,Premier League,2025,19,2026-02-13 11:43:25
Wolverhampton Wanderers FC,Premier League,2025,20,2026-02-13 11:43:25
Middlesbrough FC,Championship,2025,1,2026-02-13 11:43:25
Coventry City FC,Championship,2025,2,2026-02-13 11:43:25
Ipswich Town FC,Championship,2025,3,2026-02-13 11:43:25
Hull City AFC,Championship,2025,4,2026-02-13 11:43:25
Millwall FC,Championship,2025,5,2026-02-13 11:43:25
Wrexham AFC,Championship,2025,6,2026-02-13 11:43:25
Preston North End FC,Championship,2025,7,2026-02-13 11:43:25
Bristol City FC,Championship,2025,8,2026-02-13 11:43:25
Southampton FC,Championship,2025,9,2026-02-13 11:43:25
Birmingham City FC,Championship,2025,10,2026-02-13 11:43:25
Derby County FC,Championship,2025,11,2026-02-13 11:43:25
Watford FC,Championship,2025,12,2026-02-13 11:43:25
Queens Park Rangers FC,Championship,2025,13,2026-02-13 11:43:25
Stoke City FC,Championship,2025,14,2026-02-13 11:43:25
Swansea City AFC,Championship,2025,15,2026-02-13 11:43:25
Norwich City FC,Championship,2025,16,2026-02-13 11:43:25
Sheffield United FC,Championship,2025,17,2026-02-13 11:43:25
Charlton Athletic FC,Championship,2025,18,2026-02-13 11:43:25
West Bromwich Albion FC,Championship,2025,19,2026-02-13 11:43:25
Portsmouth FC,Championship,2025,20,2026-02-13 11:43:25
Leicester City FC,Championship,2025,21,2026-02-13 11:43:25
Blackburn Rovers FC,Championship,2025,22,2026-02-13 11:43:25
Oxford United FC,Championship,2025,23,2026-02-13 11:43:25
Sheffield Wednesday FC,Championship,2025,24,2026-02-13 11:43:25
Cardiff City FC,League One,2025,1,2026-02-13 11:43:25
Lincoln City FC,League One,2025,2,2026-02-13 11:43:25
Bolton Wanderers FC,League One,2025,3,2026-02-13 11:43:25
Stockport County FC,League One,2025,4,2026-02-13 11:43:25
Huddersfield Town AFC,League One,2025,5,2026-02-13 11:43:25
Bradford City AFC,League One,2025,6,2026-02-13 11:43:25
Luton Town FC,League One,2025,7,2026-02-13 11:43:25
Peterborough United FC,League One,2025,8,2026-02-13 11:43:25
Wycombe Wanderers FC,League One,2025,9,2026-02-13 11:43:25
Reading FC,League One,2025,10,2026-02-13 11:43:25
Stevenage FC,League One,2025,11,2026-02-13 11:43:25
Mansfield Town FC,League One,2025,12,2026-02-13 11:43:25
Exeter City FC,League One,2025,13,2026-02-13 11:43:25
AFC Wimbledon,League One,2025,14,2026-02-13 11:43:25
Barnsley FC,League One,2025,15,2026-02-13 11:43:25
Plymouth Argyle FC,League One,2025,16,2026-02-13 11:43:25
Blackpool FC,League One,2025,17,2026-02-13 11:43:25
Leyton Orient FC,League One,2025,18,2026-02-13 11:43:25
Northampton Town FC,League One,2025,19,2026-02-13 11:43:25
Doncaster Rovers FC,League One,2025,20,2026-02-13 11:43:25
Burton Albion FC,League One,2025,21,2026-02-13 11:43:25
Wigan Athletic FC,League One,2025,22,2026-02-13 11:43:25
Rotherham United FC,League One,2025,23,2026-02-13 11:43:25
Port Vale FC,League One,2025,24,2026-02-13 11:43:25
Bromley FC,League Two,2025,1,2026-02-13 11:43:25
Swindon Town FC,League Two,2025,2,2026-02-13 11:43:25
Notts County FC,League Two,2025,3,2026-02-13 11:43:25
Cambridge United FC,League Two,2025,4,2026-02-13 11:43:25
Milton Keynes Dons FC,League Two,2025,5,2026-02-13 11:43:25
Salford City FC,League Two,2025,6,2026-02-13 11:43:25
Walsall FC,League Two,2025,7,2026-02-13 11:43:25
Grimsby Town FC,League Two,2025,8,2026-02-13 11:43:25
Chesterfield FC,League Two,2025,9,2026-02-13 11:43:25
Crewe Alexandra FC,League Two,2025,10,2026-02-13 11:43:25
Barnet FC,League Two,2025,11,2026-02-13 11:43:25
Colchester United FC,League Two,2025,12,2026-02-13 11:43:25
Accrington Stanley FC,League Two,2025,13,2026-02-13 11:43:25
