ClubName,League,Season_Year,Positions,Updated_At
Arsenal FC,Premier League,2025,1,2026-02-13 08:45:12
Manchester City FC,Premier League,2025,2,2026-02-13 08:45:12
Aston Villa FC,Premier League,2025,3,2026-02-13 08:45:12
Manchester United FC,Premier League,2025,4,2026-02-13 08:45:12
Chelsea FC,Premier League,2025,5,2026-02-13 08:45:12
Liverpool FC,Premier League,2025,6,2026-02-13 08:45:12
Brentford FC,Premier League,2025,7,2026-02-13 08:45:12
Everton FC,Premier League,2025,8,2026-02-13 08:45:12
AFC Bournemouth,Premier League,2025,9,2026-02-13 08:45:12
Newcastle United FC,Premier League,2025,10,2026-02-13 08:45:12
Sunderland AFC,Premier League,2025,11,2026-02-13 08:45:12
Fulham FC,Premier League,2025,12,2026-02-13 08:45:12
Crystal Palace FC,Premier League,2025,13,2026-02-13 08:45:12
Brighton & Hove Albion FC,Premier League,2025,14,2026-02-13 08:45:12
Leeds United FC,Premier League,2025,15,2026-02-13 08:45:12
Tottenham Hotspur FC,Premier League,2025,16,2026-02-13 08:45:12
Nottingham Forest FC,Premier League,2025,17,2026-02-13 08:45:12
West Ham United FC,Premier League,2025,18,2026-02-13 08:45:12
Burnley FC,Premier League,2025,19,2026-02-13 08:45:12
Wolverhampton Wanderers FC,Premier League,2025,20,2026-02-13 08:45:12
Middlesbrough FC,Championship,2025,1,2026-02-13 08:45:12
Coventry City FC,Championship,2025,2,2026-02-13 08:45:12
Ipswich Town FC,Championship,2025,3,2026-02-13 08:45:12
Hull City AFC,Championship,2025,4,2026-02-13 08:45:12
Millwall FC,Championship,2025,5,2026-02-13 08:45:12
Wrexham AFC,Championship,2025,6,2026-02-13 08:45:12
Preston North End FC,Championship,2025,7,2026-02-13 08:45:12
Bristol City FC,Championship,2025,8,2026-02-13 08:45:12
Southampton FC,Championship,2025,9,2026-02-13 08:45:12
Birmingham City FC,Championship,2025,10,2026-02-13 08:45:12
Derby County FC,Championship,2025,11,2026-02-13 08:45:12
Watford FC,Championship,2025,12,2026-02-13 08:45:12
Queens Park Rangers FC,Championship,2025,13,2026-02-13 08:45:12
Stoke City FC,Championship,2025,14,2026-02-13 08:45:12
Swansea City AFC,Championship,2025,15,2026-02-13 08:45:12
Norwich City FC,Championship,2025,16,2026-02-13 08:45:12
Sheffield United FC,Championship,2025,17,2026-02-13 08:45:12
Charlton Athletic FC,Championship,2025,18,2026-02-13 08:45:12
West Bromwich Albion FC,Championship,2025,19,2026-02-13 08:45:12
Portsmouth FC,Championship,2025,20,2026-02-13 08:45:12
Leicester City FC,Championship,2025,21,2026-02-13 08:45:12
Blackburn Rovers FC,Championship,2025,22,2026-02-13 08:45:12
Oxford United FC,Championship,2025,23,2026-02-13 08:45:12
Sheffield Wednesday FC,Championship,2025,24,2026-02-13 08:45:12
Cardiff City FC,League One,2025,1,2026-02-13 08:45:12
Lincoln City FC,League One,2025,2,2026-02-13 08:45:12
Bolton Wanderers FC,League One,2025,3,2026-02-13 08:45:12
Stockport County FC,League One,2025,4,2026-02-13 08:45:12
Huddersfield Town AFC,League One,2025,5,2026-02-13 08:45:12
Bradford City AFC,League One,2025,6,2026-02-13 08:45:12
Luton Town FC,League One,2025,7,2026-02-13 08:45:12
Peterborough United FC,League One,2025,8,2026-02-13 08:45:12
Wycombe Wanderers FC,League One,2025,9,2026-02-13 08:45:12
Reading FC,League One,2025,10,2026-02-13 08:45:12
Stevenage FC,League One,2025,11,2026-02-13 08:45:12
Mansfield Town FC,League One,2025,12,2026-02-13 08:45:12
Exeter City FC,League One,2025,13,2026-02-13 08:45:12
AFC Wimbledon,League One,2025,14,2026-02-13 08:45:12
Barnsley FC,League One,2025,15,2026-02-13 08:45:12
Plymouth Argyle FC,League One,2025,16,2026-02-13 08:45:12
Blackpool FC,League One,2025,17,2026-02-13 08:45:12
Leyton Orient FC,League One,2025,18,2026-02-13 08:45:12
Northampton Town FC,League One,2025,19,2026-02-13 08:45:12
Doncaster Rovers FC,League One,2025,20,2026-02-13 08:45:12
Burton Albion FC,League One,2025,21,2026-02-13 08:45:12
Wigan Athletic FC,League One,2025,22,2026-02-13 08:45:12
Rotherham United FC,League One,2025,23,2026-02-13 08:45:12
Port Vale FC,League One,2025,24,2026-02-13 08:45:12
Bromley FC,League Two,2025,1,2026-02-13 08:45:12
Swindon Town FC,League Two,2025,2,2026-02-13 08:45:12
Notts County FC,League Two,2025,3,2026-02-13 08:45:12
Cambridge United FC,League Two,2025,4,2026-02-13 08:45:12
Milton Keynes Dons FC,League Two,2025,5,2026-02-13 08:45:12
Salford City FC,League Two,2025,6,2026-02-13 08:45:12
Walsall FC,League Two,2025,7,2026-02-13 08:45:12
Grimsby Town FC,League Two,2025,8,2026-02-13 08:45:12
Chesterfield FC,League Two,2025,9,2026-02-13 08:45:12
Crewe Alexandra FC,League Two,2025,10,2026-02-13 08:45:12
Barnet FC,League Two,2025,11,2026-02-13 08:45:12
Colchester United FC,League Two,2025,12,2026-02-13 08:45:12
Accrington Stanley FC,League Two,2025,13,2026-02-13 08:45:12
Gillingham FC,League Two,2025,14,2026-02-13 08:45:12
Fleetwood Town FC,League Two,2025,15,2026-02-13 08:45:12
Oldham Athletic AFC,League Two,2025,16,2026-02-13 08:45:12
Tranmere Rovers FC,League Two,2025,17,2026-02-13 08:45:12
Cheltenham Town FC,League Two,2025,18,2026-02-13 08:45:12
Bristol Rovers FC,League Two,2025,19,2026-02-13 08:45:12
Crawley Town FC,League Two,2025,20,2026-02-13 08:45:12
Shrewsbury Town FC,League Two,2025,21,2026-02-13 08:45:12
Barrow AFC,League Two,2025,22,2026-02-13 08:45:12
Newport County AFC,League Two,2025,23,2026-02-13 08:45:12
Harrogate Town AFC,League Two,2025,24,2026-02-13 08:45:12
