ClubName,League,Season_Year,Positions,Updated_At
Arsenal FC,Premier League,2025,1,2026-02-03 14:10:52
Manchester City FC,Premier League,2025,2,2026-02-03 14:10:52
Aston Villa FC,Premier League,2025,3,2026-02-03 14:10:52
Manchester United FC,Premier League,2025,4,2026-02-03 14:10:52
Chelsea FC,Premier League,2025,5,2026-02-03 14:10:52
Liverpool FC,Premier League,2025,6,2026-02-03 14:10:52
Brentford FC,Premier League,2025,7,2026-02-03 14:10:52
Fulham FC,Premier League,2025,8,2026-02-03 14:10:52
Everton FC,Premier League,2025,9,2026-02-03 14:10:52
Newcastle United FC,Premier League,2025,10,2026-02-03 14:10:52
Sunderland AFC,Premier League,2025,11,2026-02-03 14:10:52
AFC Bournemouth,Premier League,2025,12,2026-02-03 14:10:52
Brighton & Hove Albion FC,Premier League,2025,13,2026-02-03 14:10:52
Tottenham Hotspur FC,Premier League,2025,14,2026-02-03 14:10:52
Crystal Palace FC,Premier League,2025,15,2026-02-03 14:10:52
Leeds United FC,Premier League,2025,16,2026-02-03 14:10:52
Nottingham Forest FC,Premier League,2025,17,2026-02-03 14:10:52
West Ham United FC,Premier League,2025,18,2026-02-03 14:10:52
Burnley FC,Premier League,2025,19,2026-02-03 14:10:52
Wolverhampton Wanderers FC,Premier League,2025,20,2026-02-03 14:10:52
Coventry City FC,Championship,2025,1,2026-02-03 14:10:52
Middlesbrough FC,Championship,2025,2,2026-02-03 14:10:52
Hull City AFC,Championship,2025,3,2026-02-03 14:10:52
Ipswich Town FC,Championship,2025,4,2026-02-03 14:10:52
Millwall FC,Championship,2025,5,2026-02-03 14:10:52
Wrexham AFC,Championship,2025,6,2026-02-03 14:10:52
Derby County FC,Championship,2025,7,2026-02-03 14:10:52
Preston North End FC,Championship,2025,8,2026-02-03 14:10:52
Bristol City FC,Championship,2025,9,2026-02-03 14:10:52
Watford FC,Championship,2025,10,2026-02-03 14:10:52
Queens Park Rangers FC,Championship,2025,11,2026-02-03 14:10:52
Stoke City FC,Championship,2025,12,2026-02-03 14:10:52
Birmingham City FC,Championship,2025,13,2026-02-03 14:10:52
Southampton FC,Championship,2025,14,2026-02-03 14:10:52
Swansea City AFC,Championship,2025,15,2026-02-03 14:10:52
Leicester City FC,Championship,2025,16,2026-02-03 14:10:52
Sheffield United FC,Championship,2025,17,2026-02-03 14:10:52
Charlton Athletic FC,Championship,2025,18,2026-02-03 14:10:52
Norwich City FC,Championship,2025,19,2026-02-03 14:10:52
Portsmouth FC,Championship,2025,20,2026-02-03 14:10:52
West Bromwich Albion FC,Championship,2025,21,2026-02-03 14:10:52
Blackburn Rovers FC,Championship,2025,22,2026-02-03 14:10:52
Oxford United FC,Championship,2025,23,2026-02-03 14:10:52
Sheffield Wednesday FC,Championship,2025,24,2026-02-03 14:10:52
Cardiff City FC,League One,2025,1,2026-02-03 14:10:52
Lincoln City FC,League One,2025,2,2026-02-03 14:10:52
Bolton Wanderers FC,League One,2025,3,2026-02-03 14:10:52
Stockport County FC,League One,2025,4,2026-02-03 14:10:52
Bradford City AFC,League One,2025,5,2026-02-03 14:10:52
